txId,class
163711545,unknown
163824665,unknown
163824318,unknown
163832323,unknown
163832295,2
165889085,unknown
165889086,unknown
163889383,unknown
163889387,unknown
163863527,unknown
163863506,unknown
22373564,unknown
163892460,unknown
163708851,unknown
163708854,unknown
163680382,2
163649357,unknown
163687584,unknown
163705613,unknown
3222249,unknown
166080421,2
163654643,unknown
163654533,unknown
166077407,unknown
166083311,unknown
23308684,unknown
42156855,unknown
166502192,unknown
168115599,unknown
163654860,1
163849777,2
163694210,unknown
23881442,2
157319250,2
163815667,unknown
163815638,unknown
163864640,unknown
163864628,unknown
13770911,2
163670753,2
163666646,unknown
163666652,unknown
163710140,unknown
168113708,unknown
168114003,unknown
166071318,1
166071322,1
165867231,2
163652365,2
163829174,2
163734088,unknown
163734076,unknown
163692451,unknown
163692459,unknown
163708422,unknown
163708425,unknown
163734922,unknown
163735631,unknown
163654552,unknown
164376970,unknown
166081729,unknown
163883199,unknown
163810601,unknown
163591389,unknown
163701821,unknown
31822981,unknown
163843547,unknown
163618979,unknown
163858834,unknown
163670735,unknown
163670571,2
163901909,2
163901912,2
163705924,2
163832320,2
163864817,unknown
163908343,unknown
75486120,2
163909216,unknown
97748671,2
165857579,unknown
163681988,unknown
163655918,unknown
163889968,unknown
163889959,unknown
164089672,2
163704813,2
163680706,2
163689937,2
163653145,2
163653048,2
165869274,2
163909490,2
84810,unknown
163867656,2
168116453,unknown
168116458,unknown
163653384,unknown
166490471,unknown
163651610,2
163651655,2
163666641,unknown
166499687,unknown
163817810,unknown
48202347,2
36587040,2
163833405,unknown
163834061,unknown
130004858,2
165890823,unknown
163650318,2
163826181,2
163711925,2
163867629,unknown
166133896,unknown
44138313,unknown
165837192,unknown
165837200,unknown
163649658,2
164122932,2
164760770,unknown
58371716,unknown
63387239,unknown
163732076,unknown
166500087,2
163815362,2
163668557,2
163668520,unknown
163734089,unknown
18896540,unknown
163654670,unknown
163592464,2
163709468,2
163666430,unknown
163666433,unknown
163662273,1
163832331,2
38205777,unknown
163663438,unknown
163650398,unknown
163650401,unknown
163650062,1
163649829,unknown
168209335,unknown
135981286,unknown
111332716,unknown
11113939,unknown
163820034,unknown
163820042,unknown
163650382,unknown
163650387,unknown
163815413,1
163818929,1
165889849,2
164917480,2
163867058,2
163867248,2
163747881,unknown
163862565,unknown
163878944,unknown
166135473,unknown
168115333,unknown
166071273,1
60620004,1
163701129,unknown
92139902,unknown
166071244,unknown
164500154,unknown
163694335,unknown
163908023,unknown
165850173,1
165850175,1
163816734,unknown
163816730,unknown
166519508,unknown
107617367,unknown
166508290,unknown
62492389,unknown
119568448,unknown
163889674,unknown
164759410,unknown
168138770,unknown
168115296,unknown
165182732,unknown
105278333,unknown
166553268,unknown
163706450,unknown
163832302,unknown
163654686,1
163667273,1
163667278,1
167656148,unknown
167703052,unknown
166068433,2
163655547,2
166519503,unknown
163736486,unknown
38782212,unknown
163823178,2
163871658,2
163588426,unknown
21012317,unknown
163884689,2
163884616,2
163704565,unknown
85695493,unknown
163592451,unknown
165890815,unknown
163847353,2
168176011,2
163886847,1
96491400,2
163673261,2
163902378,2
10273344,unknown
138726915,2
163822979,2
165849369,unknown
75528333,unknown
22391109,unknown
163654998,unknown
163711891,unknown
163711898,unknown
168137630,unknown
56986273,unknown
163649913,1
163686905,unknown
163862846,unknown
163586124,unknown
166072898,unknown
163722651,unknown
167707051,unknown
163822794,2
163822797,2
163704245,unknown
163704239,unknown
163691877,unknown
143344533,unknown
164775638,2
163688509,2
163591905,2
163591899,unknown
163832328,2
163661973,unknown
103913009,unknown
163667318,1
163667324,1
163653413,unknown
163861849,unknown
163887041,unknown
164105600,2
166071657,unknown
166072716,unknown
163686861,unknown
163686853,2
165848936,unknown
102406630,unknown
1341288,unknown
163668325,unknown
48779720,unknown
168156339,unknown
168147032,unknown
167124959,unknown
163720270,2
163720276,2
166499778,2
165573067,2
163866795,2
163866804,2
163600142,unknown
166094983,unknown
163585330,unknown
163585334,unknown
163720724,2
163720727,2
165336901,unknown
166540249,unknown
1180975,unknown
35419254,1
165892973,unknown
163654648,unknown
40944235,unknown
163687924,2
163747718,unknown
104268693,unknown
165888449,unknown
163821035,2
163821039,2
163709050,2
163803275,unknown
163802964,unknown
164461872,unknown
163683424,unknown
163736510,unknown
163737221,unknown
165837793,unknown
163654536,unknown
166105136,unknown
163673319,2
168115283,unknown
168115291,unknown
168118995,2
163823983,2
163651202,unknown
163816154,unknown
163866733,unknown
166180993,unknown
164888209,unknown
163893315,2
163893320,2
30022545,1
163586078,1
39011680,unknown
166526119,unknown
166526110,2
168148513,unknown
168148519,unknown
165902966,unknown
163804664,unknown
163846813,unknown
167743047,1
62082825,1
32922975,2
163807968,2
163807966,2
163678953,2
163678950,unknown
163681357,unknown
166500123,unknown
166499019,unknown
166499685,unknown
128341240,unknown
29767411,2
168206934,unknown
168136405,unknown
166507048,unknown
1183087,unknown
145395466,unknown
163824108,unknown
163846259,unknown
163655085,1
163655083,unknown
53253913,unknown
168147763,unknown
128341239,unknown
163892698,unknown
164772185,unknown
168148537,unknown
164929680,unknown
163875351,unknown
163875349,2
168148012,unknown
64804641,unknown
166073898,1
163809264,unknown
166496099,unknown
84813906,2
163721539,2
163815428,1
165837460,unknown
163895460,unknown
163895350,unknown
166526114,2
163693796,unknown
41239634,unknown
686329,unknown
163687214,2
163745038,unknown
163708457,unknown
163825493,unknown
163683471,2
48863516,unknown
163708046,unknown
40937342,unknown
165858806,2
163810179,unknown
163810174,unknown
167475635,unknown
168141773,unknown
163593268,2
163818884,2
163830859,unknown
37018827,unknown
166071311,1
163704800,unknown
22376572,unknown
13212310,unknown
163862571,unknown
10392895,unknown
84260632,unknown
163806344,unknown
163806348,unknown
168135843,2
168135850,2
131614998,unknown
168147749,unknown
163653557,1
163886843,1
163818427,unknown
163818429,unknown
92643368,unknown
163808900,unknown
163591925,2
163650155,unknown
163671671,unknown
163671498,unknown
166493082,unknown
166561528,2
52034554,unknown
123508502,2
165804294,unknown
165849609,unknown
163592544,unknown
163592539,unknown
163809801,unknown
163809798,unknown
163597291,unknown
166507352,unknown
168018171,unknown
163584948,1
168117086,unknown
163694918,1
163886758,1
163592460,unknown
165041873,unknown
163866206,2
163866204,1
166518551,unknown
163886868,unknown
62294139,unknown
163695830,unknown
163807977,2
163807974,2
163707712,unknown
163655004,unknown
163875355,unknown
166080819,2
56475009,unknown
163875389,unknown
26401833,unknown
168173722,2
166081077,unknown
163650592,2
166488975,unknown
164114535,unknown
168153805,unknown
163707251,unknown
163586406,1
163586417,1
163896042,unknown
166521556,unknown
74110981,unknown
163823945,unknown
163823940,2
166509197,unknown
73978619,unknown
168148474,unknown
167194345,unknown
163805791,2
163865419,2
165847489,2
163649679,2
166508723,2
163825848,unknown
163649915,1
168112612,2
163687316,2
168146775,unknown
163868021,unknown
165889088,unknown
165212084,unknown
163802988,unknown
163822985,2
163822991,2
165850453,unknown
165850457,unknown
163734015,unknown
136452699,unknown
163832318,unknown
8017983,unknown
163867647,unknown
163829161,unknown
168140213,unknown
57868244,unknown
163649677,2
168126059,unknown
167748859,unknown
85695503,unknown
85695144,unknown
163629181,unknown
163629178,unknown
166496103,unknown
163819755,unknown
163653503,unknown
165853608,unknown
163650379,unknown
163650377,unknown
163683436,unknown
163683422,2
163893106,unknown
163893045,unknown
163819520,unknown
166068445,2
163701124,unknown
163803590,unknown
163809262,unknown
163829285,unknown
42117319,unknown
165145717,unknown
163656784,2
163707746,unknown
163852015,unknown
166501659,unknown
60653830,unknown
163808017,unknown
163808014,2
163613192,unknown
163829651,unknown
165838890,unknown
163805804,unknown
163670749,unknown
163663104,unknown
163663101,unknown
163820072,1
163820076,1
166503561,unknown
163654905,unknown
163654549,1
163654813,unknown
165849395,unknown
165849399,unknown
166081953,unknown
164354707,unknown
165849657,1
124876736,1
163721553,unknown
6322513,unknown
168183083,2
166499045,1
166499051,1
48517010,unknown
163010789,unknown
163866995,2
163867004,2
165837104,unknown
165837275,unknown
163711901,unknown
163711902,unknown
163654351,unknown
163584288,unknown
163654346,unknown
6836757,unknown
166514304,2
163822268,1
15254893,1
163824386,unknown
163833155,unknown
129029213,2
163806556,2
163902379,2
163711547,unknown
163852057,unknown
163736467,unknown
163736476,unknown
164115043,unknown
168125711,unknown
163832322,2
165212582,unknown
163846273,unknown
167748861,1
168139100,1
27844437,2
103913099,2
163833384,unknown
163833379,unknown
118362087,unknown
168154711,unknown
163664566,unknown
163664750,unknown
166499765,2
166499767,2
70414767,unknown
166499017,unknown
163736496,unknown
163657331,1
163658888,1
163802946,unknown
163802941,2
163705606,2
164110003,unknown
163815723,unknown
165890493,unknown
165852701,2
166075249,unknown
163862207,2
163862197,2
163688505,2
163911438,unknown
70235152,unknown
165366666,unknown
164336108,unknown
163804180,2
163703434,unknown
166519430,unknown
163822784,2
106665238,2
163822036,unknown
163822032,unknown
163886453,unknown
51762733,unknown
163655108,1
89199852,1
163867640,1
163826599,unknown
37018824,unknown
163673320,2
163809279,unknown
163722649,unknown
163867960,unknown
163660881,1
163661413,1
163804215,unknown
167171369,unknown
5577545,unknown
163867307,1
163867589,1
2947415,unknown
22381999,unknown
163622460,unknown
163622803,unknown
168110087,unknown
166860053,unknown
168110390,unknown
164113697,unknown
163708429,unknown
88765986,unknown
163872596,unknown
163821541,2
163821548,2
159939687,2
29060121,unknown
166519471,unknown
166519484,unknown
163601735,unknown
166487424,unknown
163867969,unknown
163883187,unknown
281804,unknown
17287179,unknown
163585653,1
163585815,1
163862540,unknown
165840296,unknown
165840723,unknown
10206666,unknown
17158862,unknown
163669681,1
5167400,1
163585030,unknown
163708888,unknown
163909226,2
163661939,unknown
163591591,unknown
163708442,unknown
163823435,unknown
163656824,unknown
167149656,unknown
168135949,unknown
166519491,unknown
166519495,unknown
168155386,unknown
163662246,unknown
163710833,2
163655428,unknown
163655425,unknown
163821536,2
163862202,unknown
166066581,unknown
166066589,unknown
168125714,unknown
168125717,unknown
163609032,2
163746606,2
163886760,unknown
163666980,unknown
166495457,unknown
163819498,unknown
163720688,2
163720698,2
163720732,unknown
163823201,unknown
163823205,unknown
163706425,unknown
163804195,unknown
163656384,2
168151803,unknown
163666397,unknown
163693560,unknown
163876058,unknown
165849400,unknown
166500126,unknown
163596680,2
163596671,unknown
163696161,unknown
163685501,2
163875378,2
165212069,unknown
165888462,unknown
163598122,2
163598118,unknown
165837505,unknown
165837508,unknown
163833390,unknown
163833385,unknown
168174688,2
166084016,2
134617269,unknown
22849278,unknown
163814869,unknown
163653266,2
163601219,2
163585945,unknown
163585954,unknown
163828785,unknown
163676322,unknown
163889356,unknown
63646976,unknown
163709471,unknown
125711425,unknown
168218822,unknown
75748249,unknown
163825901,unknown
165853623,2
166082162,unknown
166074569,unknown
47221517,unknown
165840743,unknown
163865708,unknown
10280742,unknown
163721571,unknown
163842321,2
163815670,unknown
163818203,unknown
163707825,unknown
163687322,unknown
163687317,unknown
166065669,unknown
163817848,unknown
163866724,unknown
167129276,unknown
166507364,unknown
120986951,unknown
163586117,unknown
165849361,unknown
165849366,unknown
163862200,2
163804238,2
163808152,unknown
163808151,unknown
163893328,unknown
166540240,unknown
163747162,unknown
100569388,unknown
163686871,unknown
163810598,unknown
163869970,unknown
166003662,unknown
53253914,unknown
163893610,unknown
163650408,unknown
163650411,unknown
163685236,unknown
4288021,unknown
166071612,1
166071629,1
163700261,unknown
163803266,2
163855781,unknown
80352049,unknown
163683437,unknown
163653270,unknown
163653268,2
163705416,unknown
163889706,unknown
163828687,2
166442655,unknown
163711168,unknown
163654672,unknown
163603438,unknown
163662545,unknown
166507355,unknown
166507354,unknown
163691273,unknown
163591909,unknown
163591907,unknown
166493578,unknown
163654828,2
163836068,unknown
166526122,unknown
163867261,2
11797016,2
78348608,2
163720373,2
166532184,unknown
16704333,unknown
165837276,unknown
163694484,unknown
163803052,2
163649916,1
26754128,2
166100042,unknown
163670756,1
66640302,unknown
163829628,unknown
163885846,unknown
163806544,2
163868034,unknown
168110077,unknown
163869669,unknown
166497229,unknown
163709376,unknown
163886336,unknown
163808903,unknown
163820078,1
64230444,2
7028169,2
163656819,unknown
164083924,unknown
18908943,unknown
163815371,unknown
166529472,unknown
38327782,unknown
163632487,unknown
163809534,unknown
163809528,unknown
163655902,unknown
148821651,unknown
168219115,unknown
163700490,unknown
144708548,unknown
166505861,unknown
163682688,unknown
165888750,unknown
163721605,unknown
163705611,unknown
165838602,unknown
165838607,unknown
163865277,unknown
166076279,2
163831763,unknown
163831761,unknown
163846807,unknown
163854971,unknown
163584893,unknown
164381748,unknown
163650413,unknown
163650415,unknown
163711912,2
163809695,2
168162716,unknown
144435268,1
76965280,unknown
163651266,unknown
134282647,unknown
163691027,1
166491668,2
62447974,2
166502557,unknown
163834057,unknown
163868298,unknown
30929720,2
163734081,unknown
38782216,unknown
168149320,unknown
168149743,unknown
163878890,unknown
163649660,2
165862955,unknown
163657324,unknown
163814690,unknown
168143561,unknown
163707837,unknown
100046666,unknown
5369311,unknown
163814917,unknown
163814923,unknown
163705583,unknown
163705580,unknown
166089884,unknown
104325136,unknown
163596684,2
166073496,1
163705572,unknown
163803270,unknown
164344010,unknown
163675084,unknown
17942794,1
166499386,1
165856403,unknown
168194819,unknown
19596186,unknown
163654834,2
163654832,unknown
166540652,unknown
166540661,unknown
163686906,unknown
137500782,unknown
163665821,unknown
167124770,2
163589307,2
163743252,unknown
163912578,unknown
163806515,unknown
163681360,unknown
57773227,unknown
163631023,unknown
91665078,2
165888996,unknown
165888998,unknown
163708439,unknown
163687309,2
163883177,unknown
163705928,unknown
163815368,unknown
163590006,unknown
163680377,unknown
163687227,unknown
163694346,unknown
168203738,unknown
163833140,unknown
163711546,2
163711539,2
163889676,unknown
163710829,2
163596070,unknown
166096274,unknown
63414409,unknown
163888774,unknown
163904166,unknown
168103503,unknown
163656417,2
57172292,unknown
163886780,2
163720722,2
163888946,unknown
163888951,unknown
164113694,unknown
168104556,unknown
163595299,unknown
163724848,unknown
163860637,unknown
163860643,unknown
163808847,unknown
163808845,2
163839851,2
40733287,2
163621792,unknown
163621796,unknown
163886392,unknown
163886388,unknown
163584891,unknown
163584909,unknown
103913101,unknown
163816185,unknown
163694190,unknown
163654538,1
166072734,unknown
14584458,unknown
163824975,unknown
163892467,unknown
168147739,unknown
163694478,unknown
163694471,2
163625033,2
165902586,unknown
163802993,2
166492424,1
168158015,1
163862189,2
163706433,unknown
163832312,unknown
168115303,unknown
168140474,unknown
168149717,unknown
164145499,unknown
166489981,unknown
163734913,unknown
163835581,unknown
167485802,unknown
168110096,unknown
126378923,unknown
165848917,unknown
165848920,unknown
168124215,unknown
167743090,unknown
165867316,unknown
165867321,unknown
92643357,unknown
163814697,unknown
163866226,unknown
163584296,unknown
166509204,2
163693155,2
166494223,unknown
163814921,unknown
163586069,1
163586071,1
163708783,2
163708782,2
67711554,2
163810129,2
163810123,unknown
163841659,unknown
166073965,1
166083307,unknown
165041888,unknown
163706376,unknown
166080287,2
163654909,unknown
163603465,unknown
163603455,unknown
163722632,unknown
163722634,unknown
168112604,2
168112608,2
163813929,unknown
163806274,unknown
163865260,unknown
163598123,unknown
165841021,unknown
163864995,unknown
166073411,unknown
166073413,unknown
163654640,unknown
56346905,unknown
163723172,unknown
163621148,unknown
166071304,unknown
168140433,unknown
49763328,unknown
163585499,unknown
166508767,unknown
163806299,2
163806306,2
163694218,unknown
163805242,unknown
116599983,unknown
78403720,unknown
163584758,2
166499147,1
166499286,1
163830214,2
168135951,unknown
163704820,unknown
163726483,unknown
142865403,unknown
166540281,unknown
163832317,2
165902581,unknown
164124385,unknown
163663135,unknown
164902453,2
28533266,unknown
165849392,unknown
163842011,unknown
163885824,unknown
163885819,unknown
163721730,unknown
163721728,unknown
163700506,unknown
163700509,unknown
163693766,unknown
163654551,unknown
163649805,2
163687941,2
163805799,unknown
163829708,2
163652653,unknown
165039955,unknown
163589773,unknown
163667978,1
163667986,1
168195251,unknown
25855613,2
163707248,unknown
163901993,2
163902002,2
166072883,unknown
163837300,1
163837299,unknown
160151526,unknown
60066228,unknown
163826208,unknown
163826205,unknown
163584968,1
163737241,unknown
20791995,unknown
163650578,2
80352164,2
163596683,unknown
163740425,unknown
65307093,unknown
163667090,unknown
163667091,unknown
164435117,unknown
18867538,unknown
165847193,unknown
16705329,unknown
163631047,unknown
163683404,unknown
163692159,2
163692156,unknown
163701500,unknown
163701804,unknown
163821527,unknown
78010795,unknown
163683981,2
163683938,2
163591792,unknown
28335362,1
163734010,unknown
165850598,unknown
118119566,unknown
168156317,unknown
168156322,unknown
116751164,unknown
163631024,unknown
56097013,unknown
163708862,1
163867633,1
163714117,unknown
163808011,2
29013655,unknown
166071315,1
163818325,unknown
10693489,unknown
7550395,unknown
163631037,unknown
163670739,unknown
165837178,2
163819803,unknown
163866501,unknown
163707823,unknown
163803800,2
18231431,unknown
163654225,unknown
163807989,2
163807985,2
4696909,2
163653144,2
165851179,unknown
166503027,unknown
163687957,unknown
64401399,unknown
128341237,unknown
163657766,unknown
163657763,unknown
163816844,unknown
163816956,unknown
163804188,unknown
163846226,unknown
163814444,unknown
163814943,unknown
166802272,unknown
163687209,2
166073554,unknown
51828013,2
163586426,1
163586429,1
138742593,unknown
168071879,unknown
58621744,1
165850447,unknown
84271971,unknown
163653037,2
163653035,unknown
37349738,unknown
166066511,unknown
45508425,unknown
163737488,unknown
62488229,unknown
163656791,unknown
163656773,2
164090044,unknown
60730273,unknown
163609028,unknown
166074356,unknown
128622641,2
166540305,unknown
163835353,unknown
27210820,1
163667259,1
163707047,unknown
163693807,unknown
163631044,unknown
163705646,unknown
163705650,unknown
163670718,2
163806008,unknown
163806006,2
163694371,unknown
168139106,1
163885892,unknown
168147829,unknown
168150557,unknown
2714208,unknown
7122827,unknown
163668288,unknown
163896720,unknown
163709296,unknown
165837156,2
164887249,2
163591634,2
128828534,unknown
163879354,unknown
163708420,unknown
163591620,unknown
163591618,unknown
165861089,unknown
57813871,unknown
163657343,unknown
56985599,unknown
163656817,unknown
163819812,unknown
163802951,unknown
168219117,unknown
168171663,unknown
166526431,unknown
163829691,unknown
168181658,unknown
163705409,unknown
163708804,unknown
163804194,unknown
163670742,2
166072704,1
72562976,2
163825855,2
163691247,unknown
163666105,1
163714169,2
164124950,2
163729979,2
166493103,unknown
163817587,unknown
163902010,2
163677143,unknown
163676890,unknown
163585504,2
164099729,2
163592456,unknown
163655914,unknown
163694258,unknown
89065103,unknown
163733667,unknown
163904732,unknown
164113701,unknown
163686859,unknown
166872250,unknown
164113692,unknown
163670722,unknown
163719190,unknown
163720183,unknown
166071329,1
166071333,1
25290724,unknown
163686858,unknown
166215938,unknown
163670736,2
166086846,2
163694356,unknown
70015681,1
163677682,unknown
163803008,unknown
163806313,unknown
163865179,unknown
164141993,unknown
168104624,unknown
163686831,2
163652675,unknown
163829664,2
163707240,unknown
163625017,2
164883476,2
168147735,unknown
163902374,unknown
168156333,unknown
37348641,unknown
163705069,unknown
163890535,unknown
163708162,unknown
168128300,1
61091332,unknown
163841537,unknown
163586435,unknown
163697222,unknown
165205805,unknown
165860780,unknown
163721551,unknown
163814941,unknown
163814935,unknown
166078864,2
163597286,unknown
163597294,unknown
163584762,2
163833401,unknown
71523694,unknown
164772434,unknown
163814311,unknown
163654553,1
163806795,unknown
163806787,unknown
163604528,unknown
163804176,unknown
163734090,2
168122867,1
166070889,1
163894700,2
163816153,unknown
166074488,unknown
163585377,2
165893340,unknown
163804160,unknown
163889337,unknown
163889344,unknown
163852756,unknown
163651600,unknown
163651595,unknown
163715557,unknown
166527434,unknown
163621152,unknown
163621153,unknown
166066507,unknown
165549056,unknown
163806278,unknown
166072207,unknown
166095408,unknown
163714645,unknown
165550359,unknown
163804175,unknown
163654642,unknown
36544650,unknown
163810198,2
168103541,unknown
10207696,unknown
163584321,unknown
152112024,unknown
163819487,unknown
98992940,1
163586130,1
167741837,unknown
163700489,unknown
163901986,2
166090127,unknown
163586072,1
165848926,unknown
84271972,unknown
163715071,unknown
163804172,2
163687291,unknown
163687288,unknown
168219103,unknown
163711859,unknown
163711856,unknown
163706239,unknown
163691580,unknown
163824419,unknown
165853639,2
163833376,2
163655580,unknown
163655576,unknown
163865497,unknown
163818685,unknown
163818694,unknown
163654662,unknown
166505799,unknown
165848911,unknown
163656742,unknown
163816842,unknown
163677652,2
163871732,unknown
22851887,unknown
20780467,unknown
165857562,2
163708179,2
163888918,unknown
163585655,1
163808006,2
163808003,2
135600096,1
166080458,unknown
163867970,unknown
163867984,unknown
166144824,unknown
13205119,unknown
163704797,unknown
18230959,unknown
164889229,unknown
123032420,2
163720682,2
163600375,unknown
163628615,2
144210103,unknown
163585639,unknown
163705658,unknown
165849631,unknown
82883590,unknown
36495738,unknown
165885573,unknown
166872803,unknown
163724865,unknown
163734082,2
166082737,2
163892367,unknown
163654807,unknown
163687222,unknown
163699534,unknown
163685465,unknown
163584880,unknown
163584885,unknown
163587333,unknown
163586089,2
165837509,unknown
166082779,unknown
166526430,unknown
146883024,2
163807993,2
163692769,unknown
163587567,unknown
163809958,unknown
166072478,1
76999860,1
93338465,2
163677663,unknown
163596682,unknown
163585489,unknown
168124222,unknown
168124224,unknown
163700478,unknown
165844265,2
163746038,unknown
163589357,unknown
163589353,unknown
166093169,2
166495530,unknown
28352616,2
163652664,2
163652662,1
168148446,unknown
168148452,unknown
163591917,2
163865263,2
71692883,unknown
168132347,unknown
34702565,unknown
163683427,unknown
165893893,unknown
163804166,unknown
165890772,unknown
166082541,unknown
165041882,unknown
163700473,unknown
166515571,unknown
163652623,unknown
163706212,2
163815868,unknown
164883205,unknown
165838308,unknown
164774726,unknown
165840737,unknown
163654664,unknown
163860640,unknown
165111516,unknown
166519543,unknown
166495493,unknown
56989524,unknown
163676351,unknown
168143553,unknown
168146419,unknown
163654842,1
80994863,unknown
163620916,unknown
165848390,unknown
164903662,2
163746865,unknown
163746860,unknown
163670746,unknown
42399890,unknown
163810614,unknown
20808326,unknown
163805795,2
163817909,unknown
61464523,unknown
163653542,unknown
61320697,unknown
166522245,unknown
163803844,2
163803838,2
139616084,unknown
163841110,1
62477028,2
166527582,2
163832332,2
163829284,unknown
41823907,unknown
60573005,unknown
163836403,unknown
163631413,unknown
30919230,unknown
163585494,unknown
166072886,unknown
168148018,unknown
163724636,unknown
163652640,unknown
163886393,unknown
163818551,unknown
163687949,2
163687945,2
163726157,unknown
166133698,unknown
163625311,unknown
163625308,unknown
163708417,unknown
163676870,unknown
128854474,unknown
163808167,2
163808166,unknown
121719168,unknown
166071216,unknown
163651947,unknown
163818961,unknown
58676068,unknown
163662253,unknown
163662250,unknown
116585969,unknown
166069722,1
163586489,unknown
168163428,unknown
10273393,unknown
128930365,unknown
168148470,unknown
163824019,unknown
163824023,unknown
163808022,2
163808019,1
163654347,unknown
166072723,unknown
166072726,unknown
166489611,unknown
166489593,unknown
163670725,2
163651223,2
163886784,2
165851155,unknown
163704823,unknown
163703148,unknown
163893624,unknown
163893618,unknown
166093871,unknown
164099720,unknown
163687229,2
168113260,2
163675072,2
163862204,unknown
163725619,unknown
163654691,unknown
163659132,unknown
163659135,unknown
163804185,unknown
163692160,unknown
48634174,unknown
163867278,unknown
163687248,unknown
166501658,2
163886866,unknown
163886862,2
166100055,unknown
168218453,unknown
3327952,unknown
163726699,unknown
163687221,unknown
166865274,unknown
163585218,unknown
165851697,unknown
163712262,unknown
101118514,unknown
54311869,unknown
163591939,unknown
163722640,unknown
163809802,unknown
163714124,unknown
163806010,2
166540296,unknown
166540300,unknown
163817590,unknown
163866516,unknown
163864383,unknown
163804182,unknown
166493095,unknown
163591610,unknown
163722294,2
163733131,unknown
163653499,unknown
163708047,unknown
163904434,unknown
56482777,unknown
163889262,unknown
163889258,unknown
163586169,unknown
62181913,unknown
165850461,unknown
16705333,unknown
163700219,unknown
73689157,2
163631020,unknown
163656848,unknown
46174058,unknown
163901635,2
163901640,2
116901759,unknown
163896606,unknown
168116219,unknown
168128618,2
163660041,unknown
163660046,unknown
163815718,unknown
163846811,unknown
165802042,unknown
165851666,unknown
164775030,unknown
164885660,unknown
163708185,2
165851219,unknown
166071298,unknown
163862173,unknown
163883200,unknown
163722296,unknown
163700819,unknown
163700826,unknown
163653044,2
163653040,2
164773533,unknown
166133709,unknown
168146772,unknown
163830860,unknown
163830857,unknown
165857476,unknown
163809278,unknown
163885250,unknown
163885242,unknown
163882828,unknown
163826204,unknown
163826185,unknown
166519548,unknown
163891329,2
163891337,2
163631029,unknown
59798177,unknown
163654663,unknown
163711887,unknown
93603337,unknown
163693737,unknown
163815374,unknown
75327270,unknown
163819758,unknown
163819767,unknown
163654958,unknown
163707708,unknown
163694907,unknown
136742990,unknown
26628747,2
163819796,unknown
163819794,unknown
163705085,unknown
163817845,unknown
163668306,unknown
163694364,unknown
163667084,unknown
163667081,unknown
163713842,2
119935610,unknown
163833374,unknown
163596638,unknown
164906982,2
166077409,unknown
163832329,2
163823030,2
163804112,2
163814688,unknown
163814692,unknown
121010140,2
163590240,unknown
166519527,unknown
163865422,2
163672198,unknown
163667266,1
165899067,unknown
163822545,1
79797023,1
163705588,unknown
163810474,2
163810471,2
163664296,unknown
163668107,unknown
163680715,unknown
61319754,2
163825969,unknown
163819135,unknown
163819140,unknown
163668136,unknown
163683429,2
163867054,2
163867055,2
165126137,unknown
163670720,unknown
163683434,2
166500065,2
165212086,2
163804197,2
165848745,unknown
56985667,unknown
163830204,unknown
163807949,1
166508233,unknown
163721266,2
164292724,unknown
6926891,unknown
163676593,unknown
163886867,unknown
163849752,unknown
163893301,unknown
163806321,unknown
163806318,unknown
163867271,2
163867302,1
